Model Architecture for FPGA Implementation
Input Image: (1, 5, 720, 960)
----------------------------------------------------------------------------------------------------------------------------------
ID   | Layer Name                     | Type            | Input Shape     | Output Shape    | K/S/P      | Out Scale    | Params  
----------------------------------------------------------------------------------------------------------------------------------
1    | model.backbone.stage0.reparam_conv | Std Conv2d      | (5, 720, 960)   | (48, 360, 480)  | 3/2/1      | 0.088039     | 2208    
2    | model.backbone.stage1.0.reparam_conv | DW Conv2d       | (48, 360, 480)  | (48, 180, 240)  | 3/2/1      | 0.275204     | 480     
3    | model.backbone.stage1.1.reparam_conv | PW Conv2d       | (48, 180, 240)  | (48, 180, 240)  | 1/1/0      | 0.247898     | 2352    
4    | model.backbone.stage1.2.reparam_conv | DW Conv2d       | (48, 180, 240)  | (48, 180, 240)  | 3/1/1      | 0.342003     | 480     
5    | model.backbone.stage1.3.reparam_conv | PW Conv2d       | (48, 180, 240)  | (48, 180, 240)  | 1/1/0      | 0.269609     | 2352    
6    | model.backbone.stage2.0.reparam_conv | DW Conv2d       | (48, 180, 240)  | (48, 90, 120)   | 3/2/1      | 0.320941     | 480     
7    | model.backbone.stage2.1.reparam_conv | PW Conv2d       | (48, 90, 120)   | (128, 90, 120)  | 1/1/0      | 0.240517     | 6272    
8    | model.backbone.stage2.2.reparam_conv | DW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 3/1/1      | 0.393637     | 1280    
9    | model.backbone.stage2.3.reparam_conv | PW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 1/1/0      | 0.284870     | 16512   
10   | model.backbone.stage2.4.reparam_conv | DW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 3/1/1      | 0.368546     | 1280    
11   | model.backbone.stage2.5.reparam_conv | PW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 1/1/0      | 0.266956     | 16512   
12   | model.backbone.stage2.6.reparam_conv | DW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 3/1/1      | 0.415609     | 1280    
13   | model.backbone.stage2.7.reparam_conv | PW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 1/1/0      | 0.274015     | 16512   
14   | model.backbone.stage2.8.reparam_conv | DW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 3/1/1      | 0.403720     | 1280    
15   | model.backbone.stage2.9.reparam_conv | PW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 1/1/0      | 0.274339     | 16512   
16   | model.backbone.stage2.10.reparam_conv | DW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 3/1/1      | 0.426193     | 1280    
17   | model.backbone.stage2.11.reparam_conv | PW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 1/1/0      | 0.374313     | 16512   
18   | model.backbone.stage2.12.reparam_conv | DW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 3/1/1      | 0.462600     | 1280    
19   | model.backbone.stage2.13.reparam_conv | PW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 1/1/0      | 0.313563     | 16512   
20   | model.backbone.stage2.14.reparam_conv | DW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 3/1/1      | 0.470256     | 1280    
21   | model.backbone.stage2.15.reparam_conv | PW Conv2d       | (128, 90, 120)  | (128, 90, 120)  | 1/1/0      | 0.350780     | 16512   
22   | model.backbone.stage3.0.reparam_conv | DW Conv2d       | (128, 90, 120)  | (128, 45, 60)   | 3/2/1      | 0.427064     | 1280    
23   | model.backbone.stage3.1.reparam_conv | PW Conv2d       | (128, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.337380     | 33024   
24   | model.backbone.stage3.2.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 0.468144     | 2560    
25   | model.backbone.stage3.3.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.412713     | 65792   
26   | model.backbone.stage3.4.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 0.479966     | 2560    
27   | model.backbone.stage3.5.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.416970     | 65792   
28   | model.backbone.stage3.6.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 0.488546     | 2560    
29   | model.backbone.stage3.7.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.457639     | 65792   
30   | model.backbone.stage3.8.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 0.566677     | 2560    
31   | model.backbone.stage3.9.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.522335     | 65792   
32   | model.backbone.stage3.10.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 0.713183     | 2560    
33   | model.backbone.stage3.11.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.572999     | 65792   
34   | model.backbone.stage3.12.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 0.613693     | 2560    
35   | model.backbone.stage3.13.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.615326     | 65792   
36   | model.backbone.stage3.14.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 1.068961     | 2560    
37   | model.backbone.stage3.15.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.810828     | 65792   
38   | model.backbone.stage3.16.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 0.817836     | 2560    
39   | model.backbone.stage3.17.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.748468     | 65792   
40   | model.backbone.stage3.18.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 3/1/1      | 0.913616     | 2560    
41   | model.backbone.stage3.19.reparam_conv | PW Conv2d       | (256, 45, 60)   | (256, 45, 60)   | 1/1/0      | 0.831054     | 65792   
42   | model.backbone.stage4.0.reparam_conv | DW Conv2d       | (256, 45, 60)   | (256, 23, 30)   | 3/2/1      | 0.727082     | 2560    
43   | model.backbone.stage4.1.reparam_conv | PW Conv2d       | (256, 23, 30)   | (1024, 23, 30)  | 1/1/0      | 0.655638     | 263168  
44   | model.backbone.linear.1        | Linear (FC)     | (1024)          | (128)           | -          | 0.057581     | 131200  
45   | model.backbone.linear.4        | Linear (FC)     | (128)           | (2)             | -          | 0.003781     | 258     
----------------------------------------------------------------------------------------------------------------------------------
Total Parameters: 1,185,826
Note: 'DW' = Depthwise (spatial), 'PW' = Pointwise (1x1 channel mix)
